{'Feature': 'workclass', 'Value': ' State-gov', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Adm-clerical', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Exec-managerial', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Handlers-cleaners', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Prof-specialty', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Other-service', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Sales', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Craft-repair', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Transport-moving', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Farming-fishing', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Machine-op-inspct', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Tech-support', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Protective-serv', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Armed-Forces', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'occupation', 'Value': ' Priv-house-serv', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'relationship', 'Value': ' Not-in-family', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'relationship', 'Value': ' Husband', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'relationship', 'Value': ' Wife', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'relationship', 'Value': ' Own-child', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'relationship', 'Value': ' Unmarried', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'relationship', 'Value': ' Other-relative', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'race', 'Value': ' White', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'race', 'Value': ' Black', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'race', 'Value': ' Asian-Pac-Islander', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'race', 'Value': ' Amer-Indian-Eskimo', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'race', 'Value': ' Other', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'sex', 'Value': ' Male', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'sex', 'Value': ' Female', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' United-States', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Cuba', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Jamaica', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' India', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Mexico', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' South', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Puerto-Rico', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Honduras', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' England', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Canada', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Germany', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Iran', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Philippines', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Italy', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Poland', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Columbia', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Cambodia', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Thailand', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Ecuador', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Laos', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Taiwan', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Haiti', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Portugal', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Dominican-Republic', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' El-Salvador', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' France', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Guatemala', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' China', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Japan', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Yugoslavia', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Peru', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Outlying-US(Guam-USVI-etc)', 'Precision': 1.0, 'Recall': 1.0, 'F1 Score': 1.0}
{'Feature': 'native-country', 'Value': ' Scotland', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Trinadad&Tobago', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Greece', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Nicaragua', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Vietnam', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Hong', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Ireland', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Hungary', 'Precision': 1.0, 'Recall': 0.0, 'F1 Score': 0.0}
{'Feature': 'native-country', 'Value': ' Holand-Netherlands', 'Precision': 1.0, 'Recall': 1.0, 'F1 Score': 1.0}
